ulx,uly,urx,ury,llx,lly,lrx,lry,text
47,2,1229,2,47,1540,1229,1540,"2016-05-16 13:54:08 00529251 004 0012
Michael Corrigan, Tax Collector
Duval County Tax Collector
231 E Forsyth St Suite 130
Jacksonville, FL 32202
(904) 630-1916
Bidder# 4036575
CAPITAL ONE CLTRL ASSIGNEE OF
PO BOX 54862
NEW ORLEANS LA 70154
Account Number
Certificate
Folio No.
Date
Receipt Face Amount
Interest
Other Fees
Sub Tot
2015
576
1007392.0000 Apr-26-2016
278717.0001
600.39
30.02
0.00
630.41
002861-0130
2015
584
1007544.0000 Apr-25-2016
273018.0001
1,327.27
66.36
0.00
1,393.63
002881-0010
2015
1268
1014984.0000 Apr-29-2016
951986.0002
530.36
40.11
0.00
570.47
006063-0325
2015
1305
1015167.0000 May-03-2016
6009077.0001
340.80
28.12
0.00
368.92
006207-0000
2015
1526
1019434.0000 Apr-29-2016
952210.0003
667.87
33.39
0.00
701.26
008069-0000
2015
1597
1020799.0000 Apr-29-2016
951991.0003
909.31
45.47
0.00
954.78
008824-0000
2015
1813
1026363.0000 Apr-29-2016
951994.0002
637.97
31.90
0.00
669.87
011128-0000
2015
2024
1030794.0000 Apr-26-2016
278014.0012
724.01
36.20
0.00
760.21
012771-0020
2015
2039
1030989.0000 Apr-29-2016
289093.0003
486.72
26.77
0.00
513.49
012874-0175
2015
2040
1030994.0000 Apr-27-2016
281168.0001
505.37
25.27
0.00
530.64
012874-0205
2015
2162
1032761.0000 Apr-29-2016
286800.0002
682.86
34.14
0.00
717.00
013196-0210
2015
2348
1035094.0000 May-02-2016
6008923.0001
805.70
40.29
0.00
845.99
014186-0000
2015
2674
1043006.0000 Apr-25-2016
274455.0001
356.69
19.62
0.00
376.31
016055-0000
2015
2696
1043857.0000
Apr-29-2016
952004.0003
1,643.56
82.18
0.00
1,725.74
016075-0010
2015
2764
1044836.0000 May-05-2016
302506.0001
477.72
23.89
0.00
501.61
016280-0020
2015
2953
1052864.0000 May-04-2016
299450.0001
1,325.41
66.27
0.00
1,391.68
017918-0000
2015
3265
1058359.0000 Apr-29-2016
7002759.0002
502.48
27.64
0.00
530.12
020028-0315
2015
3933
1064512.0000 Apr-28-2016
285259.0001
1,020.82
51.04
0.00
1,071.86
023829-0000
2015
5053
1071276.0000 Apr-29-2016
6008808.0001
937.83
75.22
0.00
1,013.05
030107-0000
2015
5185
1072132.0000 May-05-2016
6009156.0001
777.09
38.85
0.00
815.94
030851-0000
"
303,2,377,2,303,9,377,9,2016-05-16
386,2,444,2,386,9,444,9,13:54:08
454,2,511,2,454,9,511,9,00529251
522,2,541,2,522,9,541,9,004
552,2,579,2,552,9,579,9,0012
507,37,573,37,507,52,573,52,Michael
580,36,657,36,580,54,657,54,"Corrigan,"
664,37,692,37,664,51,692,51,Tax
700,36,775,36,700,51,775,51,Collector
524,64,572,64,524,79,572,79,Duval
580,64,639,64,580,82,639,82,County
644,64,673,64,644,79,673,79,Tax
680,63,756,62,680,79,756,78,Collector
529,91,556,91,529,105,556,105,231
566,91,577,91,566,105,577,105,E
583,90,644,90,583,108,644,108,Forsyth
651,90,667,90,651,105,667,105,St
674,90,714,90,674,105,714,105,Suite
723,91,749,91,723,105,749,105,130
544,116,649,115,544,136,649,135,"Jacksonville,"
657,118,679,118,657,132,679,132,FL
685,117,734,116,685,131,734,130,32202
576,143,619,142,576,161,619,160,(904)
626,142,703,140,626,158,703,156,630-1916
47,178,117,178,47,192,117,192,Bidder#
135,177,207,177,135,192,207,192,4036575
135,202,221,202,135,217,221,217,CAPITAL
227,202,267,202,227,216,267,216,ONE
275,202,337,202,275,216,337,216,CLTRL
341,202,440,202,341,216,440,216,ASSIGNEE
446,202,471,202,446,216,471,216,OF
135,232,161,232,135,246,161,246,PO
167,232,210,232,167,246,210,246,BOX
218,232,267,232,218,246,267,246,54862
135,260,181,260,135,274,181,274,NEW
188,260,282,260,188,274,282,274,ORLEANS
289,260,315,260,289,274,315,274,LA
320,260,371,260,320,274,371,274,70154
157,466,230,466,157,481,230,481,Account
237,466,309,466,237,480,309,480,Number
76,503,171,503,76,517,171,517,Certificate
299,502,342,503,299,516,342,517,Folio
350,502,377,502,350,517,377,517,No.
428,502,468,502,428,516,468,516,Date
586,501,650,500,586,520,650,519,Receipt
675,502,714,502,675,516,714,516,Face
719,502,789,501,719,516,789,515,Amount
844,501,910,501,844,515,910,515,Interest
974,500,1026,499,974,515,1026,514,Other
1033,500,1070,500,1033,514,1070,514,Fees
1162,499,1195,499,1162,514,1195,514,Sub
1201,499,1229,499,1201,513,1229,513,Tot
66,546,106,546,66,560,106,560,2015
171,546,201,546,171,560,201,560,576
257,545,374,545,257,560,374,560,1007392.0000
400,545,506,545,400,564,506,564,Apr-26-2016
548,544,653,544,548,559,653,559,278717.0001
733,544,788,544,733,559,788,559,600.39
853,544,898,543,853,559,898,558,30.02
1031,543,1066,543,1031,558,1066,558,0.00
1171,542,1224,542,1171,556,1224,556,630.41
157,570,267,570,157,585,267,585,002861-0130
66,596,106,596,66,610,106,610,2015
171,596,201,596,171,610,201,610,584
257,595,374,596,257,611,374,612,1007544.0000
399,594,505,595,399,615,505,616,Apr-25-2016
548,595,653,595,548,609,653,609,273018.0001
719,595,787,595,719,612,787,612,"1,327.27"
853,594,898,594,853,608,898,608,66.36
1031,593,1066,593,1031,608,1066,608,0.00
1157,592,1226,592,1157,610,1226,610,"1,393.63"
157,621,267,621,157,635,267,635,002881-0010
66,646,106,646,66,660,106,660,2015
163,644,201,646,162,660,200,662,1268
